Genero	Amostra 1 (%)	Amostra 2 (%)
Acetatifactor	0.8	0.0
Actinopolyspora	0.0	1.17
Agathobacter	3.35	0.0
Agathobaculum	1.48	0.0
Akkermansia	0.19	0.0
Alicyclobacillus	0.0	0.21
Alistipes	0.95	0.0
Anaerobutyricum	0.49	0.0
Anaerostipes	1.33	0.0
Bacteroides	4.72	0.0
Blautia	3.96	0.0
Bulleidia	0.19	0.0
Butyribacter	2.17	0.0
Butyricicoccus	2.47	0.0
CAG-115	0.49	0.0
CAG-177	0.65	0.0
CAG-217	0.38	0.0
CAG-41	2.63	0.0
CAG-83	2.51	0.0
CAG-841	0.11	0.0
Clostridium	4.15	0.0
Coprococcus	1.83	0.0
Copromonas	1.22	0.0
Cronobacter	0.11	0.0
Curtobacterium	0.0	4.7
Desconhecido	6.7	1.85
Dialister	0.27	0.0
Dorea	1.52	0.0
Duodenibacillus	0.34	0.0
Dysosmobacter	0.91	0.0
Ellagibacter	0.15	0.0
Eubacterium	0.42	0.0
Faecalibacterium	8.79	0.0
Fusicatenibacter	0.57	0.0
Geodermatophilus	0.0	0.89
Gryllotalpicola	0.0	10.97
Intestinibacter	1.41	0.0
JADGQX01	0.0	0.34
Lachnospira	0.53	0.0
Limivicinus	0.53	0.0
Merdicola	0.38	0.0
Methanobrevibacter	0.23	0.0
Methanosphaera	0.15	0.0
Methylophilus	0.0	0.55
Microlunatus	0.0	0.48
NSJ-50	0.3	0.0
Nocardia	0.0	1.23
Nocardioides	0.0	52.45
Odoribacter	0.11	0.0
Parabacteroides	0.61	0.0
Parasutterella	0.23	0.0
Parolsenella	0.15	0.0
Phocaeicola	7.12	0.0
Prevotella	8.3	0.0
Pseudoruminococcus	4.07	0.0
RUG115	3.39	0.0
Roseburia	2.4	0.0
Ruminiclostridium	6.81	0.0
Ruminococcus	0.46	0.0
SFJ001	0.34	0.0
Scatocola	0.23	0.0
Spirillospora	0.0	13.2
Streptomyces	0.0	0.65
Sulfobacillus	0.0	0.07
Trebonia	0.0	11.24
UBA11452	0.19	0.0
UBA11524	1.98	0.0
UBA1394	0.15	0.0
UBA1417	0.19	0.0
UBA1774	0.3	0.0
UBA3402	0.61	0.0
UBA7597	0.53	0.0
UMGS1375	0.42	0.0
UMGS882	1.22	0.0
Ventrimonas	0.76	0.0
