# Constructed from biom file
#OTU ID	16S-Amostra1	16S-Amostra2	taxonomy
321501a64794e926be7b961674c35a0f	0.0	1170.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides
2c47537f334048fd1472da325f00561d	0.0	316.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Streptosporangiales; f__Streptosporangiaceae; g__Trebonia; s__Trebonia kvetii
4a1547af0bbae2aff8f3222d2fba2102	179.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Ruminiclostridium_E; s__Ruminiclostridium_E siraeum
55c898aac6cd9048553554d25d45ef73	0.0	137.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Curtobacterium
bbae6ed124f4d6b48435a964a95c8418	135.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium; s__Faecalibacterium prausnitzii_C
22384dfedcdd1f82ad00ceeceab79886	0.0	128.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Gryllotalpicola; s__Gryllotalpicola protaetiae
85f0f475366d3a5b6976a6e945f3757f	0.0	128.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Gryllotalpicola; s__Gryllotalpicola protaetiae
6f447db698a96b0aac5d948150898286	0.0	125.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides
f59952ee493f205c4213fb4f55f12f7d	0.0	120.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Streptosporangiales; f__Streptosporangiaceae; g__Spirillospora
3efbc4ad0134e63d59a6feea192d971b	107.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__Pseudoruminococcus_A; s__Pseudoruminococcus_A massiliensis
63ea5663c70acdd1afa5139d271a9703	95.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Prevotella; s__Prevotella stercorea
b6635d67cb594473ddba9f8cfba5d13d	94.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola; s__Phocaeicola vulgatus
d3864fc0d139ae33e32888b486ee19cb	89.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__RUG115; s__RUG115 sp900066395
4daea3e77bc42a4f9c86724664ef7a21	0.0	85.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides
6251bd9ebf43fae466939ab366f6e547	78.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola; s__Phocaeicola vulgatus
25af29e1b2d121f8aae468d270d75518	74.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Agathobacter; s__Agathobacter faecis
c2322cd772f9235eb37c36bc214699d7	0.0	71.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Streptosporangiales; f__Streptosporangiaceae; g__Spirillospora
63e563e8da66dbaad0bb651554d3e91f	0.0	70.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Streptosporangiales; f__Streptosporangiaceae; g__Spirillospora
4608cf2aa614ad44e2e4c90e5145221e	69.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__UBA1381; f__UBA1381; g__CAG-41; s__CAG-41 sp900066215
